[00:41:01] [Dziekan] Uczelnia otwarta. Miejsc: 1500. Przewidywana liczba kandydatow: 15000.
[00:41:01] [Dziekan] Komisja A (PID: 345518) i komisja B (PID: 345519) rozpoczynaja prace.
[00:41:08] 
 [Dziekan] KONIEC EGZAMINU. OBLICZANIE RANKINGU I PUBLIKACJA WYNIKOW

=================================================================================
| NR   | PID        | MATURA   | KOM A    | KOM B    | SUMA  | STATUS                   |
| 608  | 346978     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 609  | 346979     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 610  | 346980     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 611  | 346981     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 612  | 346982     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 613  | 346983     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 614  | 346984     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 615  | 346985     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 616  | 346986     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 617  | 346987     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 618  | 346988     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 619  | 346989     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 620  | 346990     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 621  | 346991     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 622  | 347055     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 623  | 347056     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 624  | 347057     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 625  | 347058     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 626  | 347059     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 627  | 347060     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 628  | 347061     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 629  | 347062     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 630  | 347063     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 631  | 347064     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 632  | 347065     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 633  | 347066     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 634  | 347067     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 635  | 347068     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 636  | 347069     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 637  | 347070     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 638  | 347071     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 639  | 347072     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 640  | 347073     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 641  | 347074     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 642  | 347075     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 643  | 347076     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 644  | 347077     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 645  | 347078     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 646  | 347079     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 647  | 347080     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 648  | 347081     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 649  | 347082     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 650  | 347083     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 651  | 347084     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 652  | 347085     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 653  | 347086     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 654  | 347087     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 655  | 347088     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 656  | 347089     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 657  | 347090     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 658  | 347091     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 659  | 347092     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 660  | 347093     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 661  | 347094     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 662  | 347095     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 663  | 347096     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 664  | 347097     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 665  | 347098     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 666  | 347099     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 667  | 347100     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 668  | 347101     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 669  | 347102     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 670  | 347103     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 671  | 347104     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 672  | 347105     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 673  | 347106     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 674  | 347107     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 675  | 347108     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 676  | 347109     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 677  | 347110     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 678  | 347111     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 679  | 347112     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 680  | 347113     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 681  | 347114     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 682  | 347115     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 683  | 347116     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 684  | 347117     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 685  | 347118     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 686  | 347119     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 687  | 347120     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 688  | 347121     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 689  | 347122     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 690  | 347123     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 691  | 347124     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 692  | 347125     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 693  | 347126     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 694  | 347127     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 695  | 347128     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 696  | 347129     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 697  | 347130     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 698  | 347131     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 699  | 347132     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 700  | 347133     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 701  | 347134     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 702  | 347135     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 703  | 347136     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 704  | 347137     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 705  | 347138     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 706  | 347139     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 707  | 347140     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 708  | 347141     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 709  | 347142     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 710  | 347143     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 711  | 347144     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 712  | 347145     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 713  | 347146     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 714  | 347147     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 715  | 347148     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 716  | 347149     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 717  | 347150     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 718  | 347151     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 719  | 347152     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 720  | 347153     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 721  | 347154     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 722  | 347155     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 723  | 347156     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 724  | 347157     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 725  | 347158     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 726  | 347159     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 727  | 347160     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 728  | 347161     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 729  | 347162     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 730  | 347163     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 731  | 347164     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 732  | 347165     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 733  | 347166     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 734  | 347167     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 735  | 347168     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 736  | 347169     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 737  | 347170     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 738  | 347171     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 739  | 347172     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 740  | 347173     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 741  | 347174     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 742  | 347175     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 743  | 347176     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 744  | 347177     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 745  | 347178     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 746  | 347179     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 747  | 347180     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 748  | 347181     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 749  | 347182     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 750  | 347183     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 751  | 347184     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 752  | 347185     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 753  | 347186     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 754  | 347187     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 755  | 347188     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 756  | 347189     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 757  | 347190     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 758  | 347191     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 759  | 347192     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 760  | 347193     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 761  | 347194     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 762  | 347195     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 763  | 347196     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 764  | 347197     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 765  | 347198     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 766  | 347199     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 767  | 347200     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 768  | 347201     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 769  | 347202     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 770  | 347203     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 771  | 347204     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 772  | 347205     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 773  | 347206     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 774  | 347207     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 775  | 347208     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 776  | 347209     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 777  | 347210     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 778  | 347211     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 779  | 347212     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 780  | 347213     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 781  | 347214     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 782  | 347215     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 783  | 347216     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 784  | 347217     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 785  | 347218     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 786  | 347219     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 787  | 347220     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 788  | 347221     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 789  | 347222     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 790  | 347223     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 791  | 347224     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 792  | 347225     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 793  | 347226     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 794  | 347227     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 795  | 347228     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 796  | 347229     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 797  | 347230     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 798  | 347231     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 799  | 347232     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 800  | 347233     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 801  | 347234     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 802  | 347238     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 803  | 347239     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 804  | 347240     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 805  | 347241     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 806  | 347242     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 807  | 347243     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 808  | 347244     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 809  | 347245     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 810  | 347246     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 811  | 347247     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 812  | 347248     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 813  | 347249     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 814  | 347250     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 815  | 347251     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 816  | 347252     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 817  | 347253     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 818  | 347254     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 819  | 347255     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 820  | 347256     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 821  | 347257     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 822  | 347258     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 823  | 347259     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 824  | 347260     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 825  | 347261     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 826  | 347262     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 827  | 347263     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 828  | 347264     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 829  | 347265     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 830  | 347266     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 831  | 347267     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 832  | 347268     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 833  | 347269     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 834  | 347270     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 835  | 347271     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 836  | 347272     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 837  | 347273     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 838  | 347274     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 839  | 347275     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 840  | 347276     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 841  | 347277     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 842  | 347278     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 843  | 347279     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 844  | 347280     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 845  | 347281     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 846  | 347282     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 847  | 347283     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 848  | 347284     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 849  | 347285     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 850  | 347286     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 851  | 347287     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 852  | 347288     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 853  | 347289     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 854  | 347290     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 855  | 347291     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 856  | 347292     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 857  | 347293     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 858  | 347294     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 859  | 347295     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 860  | 347296     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 861  | 347297     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 862  | 347298     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 863  | 347299     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 864  | 347300     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 865  | 347301     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 866  | 347302     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 867  | 347303     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 868  | 347304     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 869  | 347305     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 870  | 347306     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 871  | 347307     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 872  | 347308     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 873  | 347309     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 874  | 347310     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 875  | 347311     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 876  | 347312     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 877  | 347313     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 878  | 347314     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 879  | 347315     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 880  | 347316     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 881  | 347317     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 882  | 347321     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 883  | 347322     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 884  | 347323     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 885  | 347324     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 886  | 347325     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 887  | 347326     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 888  | 347327     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 889  | 347328     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 890  | 347329     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 891  | 347330     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 892  | 347331     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 893  | 347332     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 894  | 347333     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 895  | 347334     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 896  | 347335     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 897  | 347336     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 898  | 347337     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 899  | 347338     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 900  | 347339     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 901  | 347340     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 902  | 347341     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 903  | 347342     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 904  | 347343     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 905  | 347344     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 906  | 347345     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 907  | 347346     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 908  | 347347     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 909  | 347348     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 910  | 347349     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 911  | 347350     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 912  | 347351     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 913  | 347352     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
